Duration,Packets,Total_Bytes,Source_Bytes,ports,Flags,Protocol,Direction
0.000278,2,203,64,53,4,4,2
0.020525,2,590,87,53,4,4,2
0.045125,7,882,629,80,4,4,2
0.33625,2,215,71,53,4,4,2
0.459301,2,212,77,53,4,4,2
0.216252,37,27990,1046,80,4,4,2
1.371909,3,295,156,53,4,4,2
0.313117,2,202,72,53,4,4,2
13.535808,70,41849,1962,80,45,3,1
0.547071,2,223,81,53,4,4,2
0.758234,9,2589,611,888,4,4,2
0.559377,2,218,77,53,4,4,2
7.599358,150,137436,3721,82,48,3,1
0.000355,2,223,81,53,4,4,2
0.980806,11,1320,833,888,4,4,2
0.131772,2,283,71,53,45,3,1
1.029718,11,1328,841,888,4,4,2
297.349731,11,1569,714,80,126,3,1
0.422243,2,182,71,53,4,4,2
2.807242,48,37425,1441,81,4,4,2
0.829001,19,10327,837,80,4,4,2
0.000417,2,202,72,53,4,4,2
7.151825,43,32509,1260,80,4,4,2
0.000345,2,223,81,53,4,4,2
0.990888,11,1324,837,888,45,3,1
0.251006,61,48359,1585,80,4,4,2
0.973053,11,1328,841,888,4,4,2
1.354025,6,366,186,443,4,4,2
9.560554,7,558,436,443,45,3,1
0.000299,2,182,71,53,4,4,2
0.309382,10,1305,763,80,4,4,2
0.301722,10,1309,767,80,4,4,2
55.453003,397,261034,9844,80,4,4,2
0.000412,2,283,71,53,4,4,2
0.442076,9,1153,654,80,4,4,2
1.37559,6,366,186,443,45,3,1
0.318874,10,1308,766,80,45,3,1
0.299748,10,1309,767,80,4,4,2
12.611373,125,101323,3372,80,4,4,2
0.44769,2,208,75,53,4,4,2
0.23138,10,891,391,80,4,4,2
0.312032,10,1306,763,80,4,4,2
0.236701,10,1009,519,80,4,4,2
0.017589,2,412,79,53,4,4,2
1.38188,6,366,186,443,4,4,2
21.462938,8,620,498,443,4,4,2
0.299675,10,1310,767,80,144,3,1
15.650887,164,104023,4266,80,4,4,2
0.299838,10,1301,758,80,4,4,2
0.330985,10,1310,767,80,4,4,2
1.517806,3,370,158,53,4,4,2
0.201243,2,553,78,53,4,4,2
500.001862,14,5498,531,80,4,4,2
0.111834,2,271,73,53,45,3,1
48.960255,18,3815,827,80,4,4,2
1.427636,3,280,144,53,4,4,2
1.348072,3,413,144,53,4,4,2
1.037223,3,390,144,53,4,4,2
1.37646,6,366,186,443,45,3,1
189.241364,14,1548,1366,443,4,4,2
0.301405,2,210,72,53,4,4,2
19.806915,46,33771,2026,80,4,4,2
0.000397,2,360,89,53,4,4,2
18.711863,9,2924,790,80,45,3,1
0.00025,2,375,87,53,4,4,2
18.688677,8,1907,1033,80,4,4,2
0.014947,2,249,75,53,4,4,2
18.621035,16,7062,2422,80,4,4,2
18.620962,16,6689,2411,80,4,4,2
18.516516,8,2447,1479,80,139,3,1
0.135529,2,240,70,53,4,4,2
0.001813,2,422,72,53,4,4,2
18.342773,9,2515,746,80,4,4,2
0.009907,2,485,80,53,4,4,2
0.367826,8,2195,1164,80,4,4,2
0.162833,2,486,78,53,4,4,2
0.314931,10,1713,858,80,4,4,2
18.141598,8,1362,774,80,4,4,2
0.370458,8,1736,1216,80,4,4,2
0.327186,10,1776,880,80,144,3,1
0.025991,2,313,72,53,139,3,1
10.274071,10,1586,644,80,4,4,2
10.274119,10,1613,644,80,4,4,2
0.000367,2,424,79,53,4,4,2
0.142707,10,1549,593,80,4,4,2
0.112656,2,277,74,53,4,4,2
0.112257,8,1691,606,80,4,4,2
72.936279,11,1099,542,80,4,4,2
0.246973,2,294,72,53,4,4,2
1.669534,16,1710,527,587,4,4,2
0.233225,10,1015,525,80,4,4,2
1.374995,6,366,186,443,4,4,2
0.123148,2,341,80,53,4,4,2
15.967942,12,4202,715,80,4,4,2
0.032146,2,443,79,53,4,4,2
19.402189,13,6718,686,80,4,4,2
0.04749,2,517,86,53,4,4,2
19.30525,12,4451,1278,80,4,4,2
0.03702,2,477,90,53,45,3,1
19.013384,31,22562,1246,80,4,4,2
12.659271,7,860,423,80,45,3,1
1.274414,6,366,186,443,45,3,1
0.021281,2,311,80,53,4,4,2
1.379204,6,366,186,443,4,4,2
0.233893,10,1015,525,80,4,4,2
189.202682,14,1548,1366,443,4,4,2
0.118086,2,294,72,53,4,4,2
27.021421,47,13452,11010,587,4,4,2
2.084277,4,372,231,53,4,4,2
133.285782,72,60352,1981,88,4,4,2
0.776383,9,2589,611,888,45,3,1
0.000204,2,218,77,53,4,4,2
7.652961,150,137436,3721,82,4,4,2
1.440672,6,366,186,443,4,4,2
193.408737,14,1548,1366,443,4,4,2
0.000279,2,223,81,53,4,4,2
0.974798,11,1324,837,888,4,4,2
0.971978,11,1328,841,888,4,4,2
3.322599,48,37425,1441,81,4,4,2
1.007634,11,1324,837,888,4,4,2
0.95544,11,1328,841,888,4,4,2
0.000317,2,208,72,53,4,4,2
0.000493,2,357,72,53,4,4,2
0.000471,2,318,72,53,4,4,2
1.395252,6,366,186,443,4,4,2
189.202789,14,1548,1366,443,4,4,2
0.000387,2,208,75,53,4,4,2
0.240168,10,1015,525,80,45,3,1
0.000344,2,271,73,53,4,4,2
0.11798,2,294,72,53,4,4,2
32.432697,30,3706,1933,587,144,3,1
1.37541,6,366,186,443,4,4,2
