Duration,Packets,Total_Bytes,Source_Bytes,ports,Flags,Protocol,Direction
130.427841,10,1020,574,80,46,3,1
130.727692,8,629,447,80,46,3,1
130.836685,8,629,507,80,41,3,1
145.623062,7,563,441,80,46,3,1
146.212006,8,674,432,80,46,3,1
146.264587,9,687,505,80,46,3,1
146.246857,9,670,488,80,46,3,1
146.335297,8,640,458,80,46,3,1
146.527664,8,626,444,80,46,3,1
146.608444,9,720,538,80,46,3,1
146.577606,8,630,448,80,46,3,1
146.559372,8,653,471,80,46,3,1
146.641541,8,731,549,80,46,3,1
146.648071,9,721,539,80,64,3,1
144.829956,10,944,498,80,41,3,1
145.641556,10,983,537,80,46,3,1
146.853058,6,544,422,80,41,3,1
147.18457,9,715,533,80,64,3,1
142.667404,10,988,602,80,64,3,1
140.023193,10,979,535,80,64,3,1
143.707092,8,808,424,80,41,3,1
144.97261,7,565,383,80,64,3,1
145.073547,8,810,424,80,46,3,1
146.97345,6,544,422,80,46,3,1
146.896042,7,559,377,80,46,3,1
147.047043,8,659,417,80,46,3,1
147.275558,7,601,419,80,46,3,1
148.343307,8,634,452,80,64,3,1
144.876389,8,834,450,80,46,3,1
146.982346,7,575,393,80,46,3,1
147.183853,8,679,497,80,46,3,1
147.172623,8,628,446,80,46,3,1
147.484818,10,1191,1007,80,46,3,1
147.467346,10,805,563,80,41,3,1
146.179459,8,808,424,80,145,3,1
147.076553,7,594,472,80,46,3,1
147.184265,9,721,479,80,41,3,1
128.324051,8,868,482,80,41,3,1
126.616432,9,670,488,80,145,3,1
273.338196,8,610,428,80,46,3,1
273.31366,9,725,543,80,46,3,1
126.713867,8,623,441,80,46,3,1
126.790283,9,706,524,80,46,3,1
273.21463,6,541,419,80,46,3,1
273.50415,10,783,541,80,46,3,1
127.001251,7,607,485,80,46,3,1
273.622375,7,604,422,80,46,3,1
290.470215,11,824,642,80,46,3,1
142.97522,7,576,394,80,64,3,1
285.017914,10,932,548,80,64,3,1
138.090897,11,1006,562,80,46,3,1
283.424805,9,744,502,80,46,3,1
283.211151,8,621,379,80,64,3,1
128.765457,8,829,445,80,41,3,1
273.631561,10,946,500,80,46,3,1
126.821907,7,628,446,80,46,3,1
127.010742,7,550,428,80,46,3,1
273.839355,7,577,395,80,46,3,1
127.841385,7,547,425,80,46,3,1
289.1539,9,720,478,80,152,3,1
143.354523,8,488,248,443,46,3,1
290.863586,7,597,415,80,46,3,1
138.140198,6,541,419,80,46,3,1
276.275665,9,672,488,80,41,3,1
273.440216,8,654,472,80,46,3,1
273.424713,10,1017,833,80,46,3,1
126.627235,9,894,710,80,46,3,1
273.829132,8,678,436,80,46,3,1
273.755402,8,639,457,80,152,3,1
276.718323,5,308,248,80,46,3,1
374.895477,8,650,468,80,46,3,1
236.101669,8,616,374,80,152,3,1
232.070877,8,488,248,443,143,3,1
635.27179,9,723,481,80,4,4,2
1067.878784,7,599,417,80,4,4,2
1076.575684,7,602,420,80,4,4,2
1167.559204,8,662,480,80,4,4,2
1002.96582,8,488,248,443,4,4,2
1198.905273,8,488,248,443,4,4,2
1377.099487,8,488,248,443,4,4,2
1597.841431,8,488,248,443,4,4,2
1468.521606,8,488,248,443,4,4,2
1463.60498,8,488,248,443,4,4,2
1659.673462,9,728,546,80,39,3,1
2024.98584,10,856,672,80,4,4,2
2210.008545,6,370,310,80,4,4,2
1255.160522,8,488,248,443,39,3,1
1118.596924,9,550,310,443,4,4,2
2337.822266,5,308,248,80,4,4,2
2664.869629,5,308,248,80,4,4,2
2542.553467,8,494,434,80,4,4,2
2701.810791,5,308,248,80,39,3,1
2717.019287,11,884,702,80,4,4,2
2731.694336,5,308,248,80,4,4,2
